Exercise,Utility,Mechanics,Force,Instructions,Muscle
dumbbell straight leg deadlift,basic,compound,pull,"Stand with shoulder width or narrower stance. Grasp dumbbells to sides.
with knees straight, lower dumbbells to top or sides of feet by bending hips. allow hips to fall back and bend waist as dumbbell approaches feet. lift dumbbells by extending hips and waist until standing upright. pull shoulders back if rounded. repeat.",erector spinae
lever deadlift (plate loaded),basic,compound,pull,"Stand in between lever handles. Squat down with feet flat and grasp handles to sides.
lift lever by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return and repeat.",erector spinae
lever stiff leg deadlift (plate loaded),basic or auxiliary,compound,pull,"Stand between lever handles with shoulder width or narrower stance. Squat down and grasp handles to each side. Stand upright with arms straight down to sides.
bow forward by bending hips. bend knees slightly during descent and keep waist straight, flexing low back at bottom. with knees slightly bent, raise torso by extending at waist, then hips, gradually extending knees until standing upright. pull shoulders back slightly if rounded. repeat.",erector spinae
lever straight leg deadlift (plate loaded),basic,compound,pull,"Stand between lever handles with shoulder width or narrower stance. Squat down and grasp handles to each side. Stand upright with arms straight down to sides.
with knees straight, bow forward by bending hips. bend waist as stirrups approach lowest position. lift lever by extending hips and waist until standing upright. pull shoulders back slightly if rounded. repeat.",erector spinae
lever back extension,auxiliary,isolated,pull,"Sit on machine with back against padded lever. Push hips back against back of seat by pushing feet against platform. Arch back in ""C"" shape.extend spine until hyperextended. return and repeat.",erector spinae
lever kneeling back extension,auxiliary,isolated,pull,"Slide back under lever pad and kneel on lower pad. Grasp handles and position feet on foot bars. Make sure knees are against knee pad and hips are against upper thigh pad.
extend spine until hyperextended. return and repeat.",erector spinae
smith bent knee good-morning,basic or auxiliary,isolated,pull,"Position bar on back of shoulders. Grasp bar to sides. Disengage bar by rotating bar back.
bend hips to lower torso forward until parallel to floor. bend knees slightly during descent. raise torso until hips are extended. repeat.",erector spinae
smith deadlift,basic,compound,pull,"Stand with shoulder width or narrower stance with feet flat beneath bar. Grasp bar with shoulder width or slightly wider mixed grip or slightly wider. Disengage bar by rotating bar back.
squat down to lower bar by bending hips and knees. lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return and repeat.",erector spinae
smith stiff leg deadlift,basic or auxiliary,compound,pull,"Stand with shoulder width or narrower stance on elevated platform with thigh against bar. Grasp bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.
with knees slightly bent, lower bar toward top of feet by bending hips. keep waist straight, flexing only slightly at bottom. lift bar by extending at hips until standing upright. pull shoulders back slightly if rounded. extend knees at top if desired. repeat.",erector spinae
smith straight leg deadlift,basic,compound,pull,"Stand with shoulder width or narrower stance on elevated platform with thigh against bar. Grasp bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.
with knees straight, lower bar toward top of feet by bending hips. after hips can no longer flex, bend waist as bar approaches top of feet. lift bar by extending waist and hip until standing upright. pull shoulders back slightly if rounded. repeat.",erector spinae
weighted hyperextension,basic or auxiliary,compound,pull,"Position thighs prone on large pad and lower legs under padded brace. Hold weight to chest or behind neck.
raise upper body until hips and waist are fully extended. lower body by bending hips and waist until fully flexed. repeat.",erector spinae
weighted 45° hyperextension,basic or auxiliary,compound,pull,"Position thighs prone on padding. Hook heels on platform lip or under padded brace. Hold weight to chest or behind neck.
raise upper body until hips and waist are fully extended. lower body by bending hips and waist until fully flexed. repeat.",erector spinae
"back extension (on stability ball, arms down)",auxiliary,isolated,pull,"Lie prone on ball with feet against base of wall. Place arms to sides or clasp hands behind hips.
raise torso off of ball by hyperextending spine. return torso to ball and repeat.",erector spinae
bird dog,auxiliary,isolated,pull,"Kneel on mat on all fours with legs and hands slightly apart.
raise arm out straight beside head while raising and extending leg on opposite side up out behind body. lower arm and leg to floor to original position and repeat. perform movement with opposite arm and leg.",erector spinae
bird dog (on stability ball),auxiliary,isolated,pull,"Lay on top of exercise ball with legs and hands slightly apart. Place chest down so torso is wrapped over ball.
raise arm and torso upward beside head while raising leg on opposite side up out behind body. lower arm, torso, and leg to original position and repeat. perform movement with opposite arm and leg.",erector spinae
hanging hyperextension,basic or auxiliary,compound,pull,"Stand behind bar facing elevated platform positioned slightly away on other side of bar. Grasp bar with slightly wider than shoulder width grip. Walk body under bar and position back of heels on elevated platform. With legs extended forward, hang under bar with arms straight and hips bent just above floor.raise hips up as high as possible by extending hips and spine. lower hips to original position just above floor. repeat.",erector spinae
hyperextension,basic or auxiliary,compound,pull,"Position thighs prone on large pad and lower legs under padded brace. Place hands behind neck or to sides of head.
raise upper body until hips and waist are fully extended. lower body by bending hips and waist until fully flexed. repeat.",erector spinae
superman,auxiliary,isolated,pull,"Lie prone on mat with legs together and arms extended out on floor approximately parallel.
slowly raise upper body and legs off floor. return upper body and legs to floor and repeat.",erector spinae
suspended hyperextension,basic or auxiliary,compound,pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Fold at hips onto heels, allowing rear end to fall far back with arms and shoulders stretched forward.drive hips forward until hips are straight, while keeping arms and shoulders straight. near top of motion, reach back with arms over head and hyperextend spine. while keeping arms over head, lower body with hips falling back down to starting position and repeat.",erector spinae
suspended pull through,auxiliary,compound,pull,"Sit on floor with feet under suspension trainer loops in low position. Reach and grasp bottom of loops and lay back supine. Raise legs and place heels in loops with soles contacting handles (or ankles through loops as shown). Extend legs out straight. Sit up and place hands on floor to sides at desired distance from suspension trainer. Raise hips from floor, supporting upper body with arms.
pull hips back while flexing spine in c shape. raise hips up high by straightening spine and hips until straight.",erector spinae
rear decline bridge,auxiliary,isolated,push,"Preparation
execution",erector spinae
rear incline bridge,auxiliary,isolated,push,"Preparation
execution",erector spinae
cable lying leg-hip raise (on bench),basic,compound,pull,"Attach cable ankle straps to both ankles, then attach ankle straps to cable. Lie supine on floor or mat, back far enough so cable is taut. Grasp support behind head.
raise legs by flexing hips while flexing knees until hips are fully flexed. raise hips from floor by flexing waist. return until legs are extended horizontally. repeat.",rectus abdominis
cable lying straight leg-hip raise,basic,compound,pull,"Attach cable ankle straps to both ankles, then attach ankle straps to cable. Lie supine on floor or mat, back far enough so cable is taut. Grasp support behind head.
raise legs by flexing hips until fully flexed. raise hips from floor by flexing waist. return until waist and hips are extended downward. repeat.",rectus abdominis
cable overhead seated crunch,auxiliary,isolated,pull,"Sit on bench or seat below two very close high pulleys. Grasp two separate cable stirrups, one with each hand. Pull stirrups down with palms facing back over each shoulder. Holding arms in place, allow weight to pull torso up, hyperextend lower back slightly.
with arms fixed in place, flex waist so shoulders travel forward and downward toward thighs. return until chest is high and back is hyperextended. repeat.",rectus abdominis
cable seated crunch (plate loaded),auxiliary,isolated,pull,"Sit on apparatus with back on back support. Grasp cable rope attachment with both hands and place securely over both shoulders. Allow weight to lift chest up with spine arched back slightly.
with hips stationary, flex waist small of back pushes into back of seat as upper back travels forward. return and repeat.",rectus abdominis
cable standing overhead crunch,auxiliary,isolated,pull,"Stand below high pulley. Grasp cable rope attachment and place wrists against head. Squat down slightly with hips flexed, allowing resistance on cable pulley to lift torso upward so spine is hyperextended.
with knees and hips stationary, flex waist so elbows travel toward middle of thighs. return and repeat.",rectus abdominis
cable standing overhead crunch (multi-exercise bar),auxiliary,isolated,pull,"Stand below high pulley. Grasp multi-exercise bar cable attachment with parallel grip. Position hands near sides of head. Squat down slightly with hips flexed, allowing resistance on cable pulley to lift torso upward so spine is hyperextended.
with knees and hips stationary, flex waist so elbows travel toward middle of thighs. return and repeat.",rectus abdominis
lever seated crunch (arm bar),auxiliary,isolated,pull,"Sit on machine with back and hips against padded supports. Place feet on floor or feet bars so thigh is approximately horizontal. Grasp handles and position forearms on bars or pads.
with hips stationary, flex waist so arms and upper torso travel forward and downward. return and repeat.",rectus abdominis
lever seated crunch (arm pad),auxiliary,isolated,pull or push,"Position seat so shoulders are same height of padded lever. Sit on machine and place arms over lever pad. Push padded lever down slightly until shoulder is fixed at approximately 90º or slightly greater.
with hips stationary, flex waist in ""c"" shape so elbows point downward. return and repeat.",rectus abdominis
lever seated crunch (chest pad),auxiliary,isolated,pull or push,"Position seat so chest is same height of padded lever. Sit on machine with back of hips against hip pad. Place hands on outside of lever pad.
with hips stationary, flex waist in ""c"" shape so shoulders travel forward and downward. return and repeat.",rectus abdominis
weighted crunch,auxiliary,isolated,pull,"Lie supine on bench with head hanging off and knees and hips bent. Hold plate behind neck.
flex waist to raise upper torso from bench. keep low back on bench and raise torso up as high as possible. return until back of shoulders contact padded incline board. repeat.",rectus abdominis
weighted crunch (on stability ball),auxiliary,isolated,pull,"Sit on exercise ball. Walk forward on ball and lie back on ball with shoulders and head hanging off and knees and hips bent. Gently hyperextend back to contour of ball. Hold plate behind neck or on chest with both hands or use no weight.
flex waist to raise upper torso. return to original position. repeat.",rectus abdominis
weighted incline crunch,auxiliary,isolated,pull," Hook feet under support and lie supine on incline bench with hips bent. Hold plate behind neck or clasp hands behind neck with no weight.
flex waist to raise upper torso from bench. keep low back on bench and raise torso up as high as possible. return until back of shoulders contact padded incline board. repeat.",rectus abdominis
weighted incline sit-up,basic,compound,pull,"Hook feet under support and lie supine on incline bench with hips bent. Hold plate behind neck or clasp hands behind neck with no weight.
raise torso from bench by bending waist and hips. return until back of shoulders contact padded incline board. repeat.",rectus abdominis
weighted sit-up,basic,compound,pull,"Hook feet under support and lie supine on floor or mat with hips bent. Hold plate behind neck.
raise torso from floor by bending waist and hips. return until back of shoulders contact with floor or mat. repeat.",rectus abdominis
weighted hanging leg-hip raise,basic,compound,pull,"Place weight between ankles or use no weight. Grasp and hang from high bar.
raise legs by flexing hips and knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist. return until waist, hips, and knees are extended. repeat.",rectus abdominis
weighted incline leg-hip raise,basic,compound,pull,"Sit on incline board. Place weight between ankles or use no weight. Lie supine on incline board with torso elevated. Grasp feet hooks or sides of board by head for support.
raise legs by flexing hips while flexing knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist, raising hips from board. return until waist, hips and knees are extended. repeat.",rectus abdominis
weighted lying leg-hip raise,basic,compound,pull,"Place weight between ankles or use no weight. Lie supine on bench or floor. Grasp sides of bench for support.
raise legs by flexing hips while flexing knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist, raising hips from board. return until waist, hips and knees are extended. repeat.",rectus abdominis
weighted vertical leg-hip raise,basic,compound,pull,"Place weight between ankles or use no weight. Position forearms on padded parallel bars with hands on handles and back on vertical pad.
raise legs by flexing hips and knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist, raising hips from back board. return until waist, hips, and knees are extended. repeat.",rectus abdominis
weighted incline twisting crunch (arms crossed),auxiliary,isolated,pull,"Hook feet under padding and lie supine on incline bench with hips bent. Hold plate on upper chest with both hands or use no weight.
flex and twist waist to raise upper torso from bench to one side. return until back of shoulders contact padded incline board. repeat to opposite side alternating twists.",obliques
weighted side crunch,auxiliary,isolated,pull,"Lie upper back supine on floor or mat. With both legs together, knees and hips bent, position outside of leg down to side. Use no weight or hold weight to opposite side of head or across upper chest.
flex waist, raising upper torso off surface. return until back of shoulders return to surface. repeat and continue with movement in opposite position.",obliques
weighted twisting crunch,auxiliary,isolated,pull,"Lie supine on floor or bench with knees and hips bent. Hold plate behind neck or on chest with both hands.
flex and twist waist to raise upper torso off surface to one side. return until back of shoulders return to surface. repeat to opposite side alternating twists.",obliques
weighted incline twisting situp,basic,compound,pull," Hook feet under foot or ankle brace and lie supine on incline bench with hips and knees bent. Hold plate behind neck with both hands.
flex and twist waist to one direction while raising torso from bench by bending hips. return until back of shoulders contact padded incline board. repeat to opposite side, alternating twists.",obliques
weighted twisting situp,basic,compound,pull,"Place feet under low overhanging stationary object. Lie supine on floor or mat with hips and knees bent. Hold plate behind neck with both hands.
flex and twist waist to one direction while raising torso from bench by bending hips. return until back of shoulders contact floor or mat. repeat to opposite side alternating twists.",obliques
crunch (arms crossed),auxiliary,isolated,pull,"Lie supine on mat with lower legs on bench. Cross wrists on chest.
flex waist to raise upper torso from mat. keep low back on mat and raise torso up as high as possible. return until back of shoulders contact mat. repeat.",rectus abdominis
crunch (arms down),auxiliary,isolated,pull,"Lie supine on mat or bench. Bend knees and hips and place feet on floor. Extend arms down to sides.
flex waist to raise upper torso from mat or bench. keep low back on floor or mat and raise torso up as high as possible. extend hands toward sides of heels. return until back of shoulders contact mat or bench. repeat.",rectus abdominis
crunch up,auxiliary,isolated,pull,"Lie supine on mat or floor with bent leg and arms pointed up.
flex waist to raise upper torso from floor. return until back of shoulders contact padded incline board. repeat.",rectus abdominis
incline crunch,auxiliary,isolated,pull,"Hook feet under foot brace and lie supine on incline board with hips bent. Place hands behind neck or head.
flex waist to raise upper torso from bench. keep low back on bench and raise torso up as high as possible. return until back of shoulders contact incline board. repeat.",rectus abdominis
ball crunch (on stability ball),auxiliary,isolated,pull,"Sit on exercise ball. Walk forward on ball and lie back on ball with shoulders and head hanging off and knees and hips bent. Gently hyperextend back on contour of ball. Place hands behind neck or beside head.
flex waist to raise upper torso. return to original position. repeat.",rectus abdominis
hanging leg-hip raise,basic,compound,pull,"Stand below ab straps hanging from high bar. Place upper arms in straps and grasp straps above.
raise legs by flexing hips and knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist. return until waist, hips, and knees are extended downward. repeat.",rectus abdominis
incline leg-hip raise,basic,compound,pull,"Lie supine on incline board with torso elevated. Grasp feet hooks or sides of board by head for support.
raise legs by flexing hips and knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist, raising hips from board. return until waist, hips and knees are extended. repeat.",rectus abdominis
lying leg-hip raise,basic,compound,pull,"Lie supine on bench or floor. Grasp sides of bench for support.
raise legs by flexing hips while flexing knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist, raising hips from board. return until waist, hips and knees are extended. repeat.",rectus abdominis
vertical leg-hip raise,basic,compound,pull,"Position forearms on padded parallel bars with hands on handles, and back on vertical pad.
raise legs by flexing hips and knees until hips are fully flexed. continue to raise knees toward shoulders by flexing waist, raising hips from back board. return until waist, hips, and knees are extended. repeat.",rectus abdominis
incline sit-up,basic,compound,pull,"Hook feet under support and lie supine on incline bench with hips bent. Place hands behind neck or on side of neck.
raise torso from bench by bending waist and hips. return until back of shoulders contact incline board. repeat.",rectus abdominis
inverted sit-up,basic,compound,pull,"Hang inverted from high bar with gravity boots on each leg. Lie supine with hands on floor over head.
raise trunk as high as possible by flexing hips and waist. return to starting position. repeat.",rectus abdominis
sit-up,basic,compound,pull,"Hook feet under foot brace or secure low overhang. Lie supine on floor or bench with hips bent. Place hands behind neck or on side of neck.
raise torso from bench by bending waist and hips. return until back of shoulders contact incline board. repeat.",rectus abdominis
cable seated cross arm twist,auxiliary,isolated,pull,"Grasp stirrup from medium height cable pulley with far hand. Sit on stool or straddle bench with lower body facing away from pulley. Allow torso to turn to side of near arm. Place far arm across body onto near arm. Support far elbow with near hand.
rotate torso through waist to face opposite side until slight stretch if felt. return to original side until slight stretch is felt. repeat. continue with opposite side.",obliques
cable standing twisting crunch (single side),auxiliary,isolated,pull,"Position back against back pad with knees slightly bent, shoulders back, and chest high. Place cable straps over shoulder. Hold against front of body with opposite hand so that cable is taut. If available, place hand in rope slot that allows cable to be taut when hand is in position with shoulders back.
flex and twist spine so shoulder pulls strap diagonally forward and downward away from pulley. return until back of shoulder returns to back pad and repeat.",obliques
cable twist (down up),auxiliary,isolated,pull,"Grasp stirrup from low cable pulley. Turn to one side, away from pulley. Position feet wide apart with furthest foot away from pulley and nearest foot close to pulley. Point both feet away from pulley. Raise heel of nearest foot off floor. Bend knees of both legs slightly. Place far hand over other hand or interlace fingers.
keeping arms straight, pull stirrup diagonally upward around shoulders by rotating torso and raising arms gradually upward until cable makes contact with side of body. bend knees slightly more as stirrup approaches top. return to original position and repeat. continue with opposite side.",obliques
cable twist (up down),auxiliary,isolated,pull,"Grasp stirrup from shoulder height cable pulley. Turn to one side, away from pulley until near arm is extended straight. Position feet wide apart with furthest foot away from pulley and nearest foot close to pulley. Point both feet away from pulley. Raise heel of nearest foot off floor. Place far hand over other hand or interlace fingers.
keeping arms straight, pull stirrup diagonally downward around shoulders by rotating torso and gradually lowering arms downward until cable is just above shoulder. gradually bend knees as stirrup makes its way around body and approaches bottom. return to original position and repeat. continue with opposite side.",obliques
lever seated twist,auxiliary,isolated,pull,"Adjust range of motion setting on machine to one side. Sit with legs against padding. Place torso against pad and grasp handles.
rotate lower body through waist to opposite side. return and repeat. adjust range of motion setting to opposite side and repeat in opposite direction.",obliques
lever seated twist,auxiliary,isolated,pull,"Adjust range of motion setting on arm levers to one side. Sit on seat with feet on platform. Position arms between pads and grasp handles above to each side.
rotate torso through waist to opposite side. return and repeat. adjust range of motion setting to opposite side and repeat in opposite direction.",obliques
lever seated twist (gripless),auxiliary,isolated,pull,"Adjust range of motion setting on seat to one side. Sit with legs straddled against padding. Wrap arms behind and under padded bars around each side.
rotate torso through waist to opposite side. return and repeat. adjust range of motion setting to opposite side and repeat in opposite direction.",obliques
weighted bent-knee lying twist,auxiliary,isolated,pull,"On floor or mat, place medicine ball between bent knees. Lie on back with arms extended out to sides. Raise bent legs so thighs are vertical and lower legs are horizontal.
lower legs to one side until side of thigh is on floor. raise and lower legs to opposite side. repeat.",obliques
weighted 45° side bend,auxiliary,isolated,pull,"Position side of thigh on padding and side of feet on leg padding or platform lip. Hold weight to chest or behind head.
raise torso upward by lateral flexing waist. lower torso by bending waist downward. repeat. position body facing opposite side and continue with opposite side.",obliques
weighted side bend (on stability ball),auxiliary,isolated,pull,"Lie on ball on side of torso, waist, and hip. Position legs outward with feet on floor or against floor board. Hold weight behind or above head.
raise side of torso up by laterally flexing waist. lower torso back on ball and repeat. position other side on ball and repeat with opposite side.",obliques
bent-knee lying twist,auxiliary,isolated,pull,"Lie on back on floor or mat with arms extended out to sides. Raise bent legs so thighs are vertical and lower legs are horizontal.
lower legs to one side until side of thigh is on floor. raise and lower legs to opposite side. repeat.",obliques
bent knee side bridge,auxiliary,isolated,push,"Lie on side on mat. Place forearm on mat under shoulder perpendicular to body. Bend knees at a right angle. Place upper leg directly on top of lower leg and straighten hips.
raise hips upward by lateral flexion of spine. lower to original position and repeat. repeat with opposite side.",obliques
incline twisting situp,basic,compound,pull,"Hook feet under foot or ankle brace and lie supine on incline bench with hips and knees bent. Place hands behind neck.
flex and twist waist to one direction while raising torso from bench by bending hips. return until back of shoulders contact padded incline board. repeat to opposite side alternating twists.",obliques
twisting situp,basic,compound,pull,"Place feet under foot bar or low overhanging stationary object. Lie supine on floor, mat, or sit-up bench with hips and knees bent. Place hands behind neck.
flex and twist waist to one direction while raising torso from bench by bending hips. return until back of shoulders contact floor or mat. repeat to opposite side alternating twists.",obliques
incline twisting crunch,auxiliary,isolated,pull,"Hook feet under foot bar and lie supine on incline bench with hips bent. Place hands behind neck.
flex and twist waist to raise upper torso from bench to one side. return until back of shoulders contact padded incline board. repeat to opposite side alternating twists.",obliques
side crunch,auxiliary,isolated,pull," Lie upper back supine on floor or mat. With both legs together, knees and hips bent, position outside of leg down to side. Place one hand base on of neck or place arms across upper chest.
flex waist, raising upper torso off mat or floor. return until back of shoulders return to mat or floor. repeat and continue with movement in opposite position.",obliques
twisting crunch,auxiliary,isolated,pull,"Lie supine on mat with lower legs on bench. Place hands behind neck or head.
flex and twist waist to raise upper torso from mat to one side. return until back of shoulders contact mat. repeat to opposite side alternating twists.",obliques
bent knee side plank,auxiliary,isolated,push,"Lie on side on mat. Place forearm on mat under shoulder perpendicular to body. Bend knees at a right angle. Place upper leg directly on top of lower leg and straighten hips.
raise body upward by straightening waist so hips and waist are ridged. hold position. repeat with opposite side.",obliques
barbell back extension (on hyperextension apparatus),auxiliary,isolated,pull,"Position thighs prone on large pad and lower legs under padded bar. Place barbell on back of shoulders and grasp bar to sides.
lower body by bending waist until fully flexed. raise or extend waist until torso is parallel to legs. repeat.",erector spinae
barbell 45° back extension (on hyperextension apparatus),auxiliary,isolated,pull,"Position thighs prone on padding. Hook heels on platform lip or under padded brace. Place barbell on back of shoulders and grasp bar to sides.
lower body by bending waist until fully flexed. raise, or extend waist until torso is parallel to legs. repeat.",erector spinae
barbell block pull,basic or auxiliary,compound,pull,"With barbell on blocks, position feet shoulder width or slightly narrower beneath bar. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.
lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return and repeat.",erector spinae
barbell deficit deadlift,basic or auxiliary,compound,pull,"Stand on weight plate, bumper plate, or shallow elevated platform with loaded bar above feet. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.
lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. repeat.",erector spinae
barbell rack pull,basic or auxiliary,compound,pull,"In power rack, with barbell on safety bar in low position, place feet shoulder width or slightly narrower beneath bar. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.
lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return and repeat.",erector spinae
barbell sumo deadlift,basic,compound,pull,"Position feet under bar with very wide stance. Squat down and grasp bar between legs with shoulder width mixed grip. Face forward while positioning shoulders upward with arms straight, chest high, hips low, and back straight.
pull bar up by driving feet outward while pulling chest up. extend knees when bar passes knees. at top of lift, when torso is upright, drive shoulders back and chest up. return weight to floor by bending hips back and knees pointed outward, while keeping chest high and back straight. repeat.",erector spinae
barbell stiff leg deadlift,basic or auxiliary,compound,pull,"Stand with shoulder width or narrower stance on shallow platform with feet flat beneath bar. Bend knees and bend over with lower back straight. Grasp barbell with shoulder width overhand or mixed grip, shoulder width or slightly wider. Lift weight to standing position.
lower bar to top of feet by bending hips. bend knees slightly during descent and keep waist straight, flexing only slightly at bottom. with knees bent, lift bar by extending at hips until standing upright. pull shoulders back slightly if rounded. extend knees at top if desired. repeat.",erector spinae
barbell straight leg deadlift,basic,compound,pull,"Stand with shoulder width or narrower stance on shallow platform with feet flat beneath bar. Bend knees and bend over with lower back straight. Grasp barbell with shoulder width overhand or mixed grip, shoulder width or slightly wider. Lift weight to standing position.
with knees straight, lower bar toward top of feet by bending hips and waist. lift bar by extending waist and hip until standing upright. pull shoulders back slightly if rounded. repeat.",erector spinae
trap bar deadlift,basic,compound,pull,"Stand with feet shoulder width or narrower in trap bar, weight to each side. Squat down with feet flat, low back taut. Grasp handles to sides.
lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return and repeat.",erector spinae
lever back extension,auxiliary,isolated,pull,"Sit in machine with feet on platform, back under padded lever, and hips against back of seat.
extend lower hips and low back until extended. return and repeat.",erector spinae
lever back extension,auxiliary,isolated,pull,"Sit on seat and secure seat belt. Place feet on foot platform with knees bent approximately 135°. Position leg braces securely on legs. Release lever and grasp handles to each side. Lean completely forward and position back pad against back.
extend spine until hyperextended. return and repeat.",erector spinae
weighted back extension (on hyperextension apparatus),auxiliary,isolated,pull,"Position thighs prone on large pad and lower legs under padded brace. Hold weight to chest or behind neck.
lower body by bending waist until fully flexed. raise, or extend waist until torso is parallel to legs. repeat.",erector spinae
weighted 45° back extension (on hyperextension apparatus),auxiliary,isolated,pull,"Position thighs prone on padding. Hook heels on platform lip or under padded brace. Hold weight to chest or behind neck.
lower body by bending waist until fully flexed. raise, or extend waist until torso is parallel to legs. repeat.",erector spinae
"back extension (on stability ball, arms crossed)",auxiliary,isolated,pull,"Lie prone on ball, with front of feet apart on floor or with feet against base of wall. Cross arms, hands in front of shoulders.
raise torso off of ball by hyperextending spine. return torso to ball and repeat.",erector spinae
"back extension (on stability ball, arms up)",auxiliary,isolated,pull,"Lie prone on ball with feet against base of wall. Place arms parallel out over floor beyond head.
raise torso off of ball and hands over head by hyperextending spine. return torso to ball and hands toward floor. repeat.",erector spinae
alternating bird dog,auxiliary,isolated,pull,"Kneel on mat on all fours with legs and hands slightly apart.
raise left arm out straight beside head while raising and extending right leg up out behind body. lower arm and leg to floor to original position. repeat by raising and lowering right arm and left leg in same manner. repeat by alternating between opposite sides.",erector spinae
alternating bird dog (on exercise ball),auxiliary,isolated,pull,"Lay on top of exercise ball with legs and hands slightly apart. Place chest down so torso is wrapped over ball.
raise left arm and torso upward beside head while raising right leg up behind body. lower arm, torso, and leg to original position and repeat. repeat by raising and lowering right arm and left leg in same manner. repeat by alternating between opposite sides.",erector spinae
hyperextension (arms crossed),basic or auxiliary,compound,pull,"Position thighs prone on large pad and lower legs under padded brace. Cross arms on chest.
raise upper body until hips and waist are fully extended. lower body by bending hips and waist until fully flexed. repeat.",erector spinae
hyperextension (hands behind hips),basic or auxiliary,compound,pull,"Position thighs prone on large pad and lower legs under padded brace. Clasp hands behind hips.
raise upper body until hips and waist are fully extended. lower body by bending hips and waist until fully flexed. repeat.",erector spinae
contralateral superman,auxiliary,isolated,pull,"Lie prone on mat with legs together and arms extended out on floor approximately parallel.
raise left arm and shoulder and right leg up off floor. lower arm and shoulder and leg to floor. repeat by raising and lowering right arm and shoulder and left leg. repeat by alternating between opposite sides.",erector spinae
barbell bent knee good-morning,auxiliary,isolated,pull,"Position barbell on back of shoulders and grasp bar to sides.
keeping back straight, bend hips to lower torso forward until parallel to floor. bend knees slightly during descent. raise torso until hips are extended. repeat.",gluteus maximus
barbell deadlift,basic,compound,pull,"With feet flat beneath bar squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.
lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. repeat.",gluteus maximus
barbell hip thrust,auxiliary,isolated,push,"Sit on floor with long side of bench behind back. Roll barbell back and center over hips. Position upper back on corner of bench. Place feet on floor approximately shoulder width with knees bent. Grasp bar to each side.
raise bar upward by extending hips until straight. lower and repeat.",gluteus maximus
barbell single leg split squat,auxiliary,compound,push,"Stand facing away from bench. Position bar on back of shoulders and grasp barbell to sides. Extend leg back and place top of foot on bench.
squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. return to original standing position by extending hip and knee of forward leg. repeat. continue with opposite leg.",gluteus maximus
barbell squat (low bar),basic,compound,push,"From rack with barbell at upper chest height, position bar low on back of shoulders. Grasp barbell to sides. Dismount bar from rack and stand with wide stance.
squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. descend until thighs are just past parallel to floor. extend hips and knees until legs are straight. return and repeat.",gluteus maximus
barbell step-up,basic or auxiliary,compound,push,"Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.
place foot of first leg on bench. stand on bench by extending hip and knee of first leg and place foot of second leg on bench. step down with second leg by flexing hip and knee of first leg. return to original standing position by placing foot of first leg to floor. repeat first step with opposite leg alternating first steps between legs.",gluteus maximus
trap bar deadlift,basic,compound,pull,"Stand with feet shoulder width or narrower in trap bar, weight to each side. Squat down with feet flat and grasp handles to sides.
lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. return weight to floor by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. repeat.",gluteus maximus
cable rear lunge,auxiliary,compound,push,"Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.
step back with one leg while bending supporting leg. plant forefoot far back on floor. lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. repeat movement with opposite legs alternating between sides.",gluteus maximus
